case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	29	147	separator_candidate	1	0	0	2.539	1.230	0.039	1.173	1	197	0.000	1.230	1.173	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	148	separator_candidate	1	0	0	2.559	1.354	0.019	1.320	1	197	0.000	1.354	1.320	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	149	separator_candidate	1	0	0	1.922	0.884	0.014	0.852	1	197	0.000	0.884	0.852	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	150	separator_candidate	1	0	0	2.380	1.218	0.014	1.148	1	197	0.000	1.218	1.148	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	151	separator_candidate	1	0	0	2.892	1.365	0.021	1.323	1	197	0.000	1.365	1.323	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	152	separator_candidate	1	0	0	3.153	1.487	0.024	1.438	1	197	0.000	1.487	1.438	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	153	separator_candidate	1	0	0	2.623	1.299	0.023	1.253	1	197	0.000	1.299	1.253	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	154	separator_candidate	1	0	0	2.427	1.298	0.020	1.260	1	197	0.000	1.298	1.260	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	155	separator_candidate	1	0	0	1.929	0.859	0.014	0.829	1	197	0.000	0.859	0.829	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	156	separator_candidate	1	0	0	2.496	1.176	0.019	1.139	1	197	0.000	1.176	1.139	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	157	separator_candidate	1	0	0	2.472	1.163	0.020	1.125	1	197	0.000	1.163	1.125	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	158	separator_candidate	1	0	0	1.827	0.850	0.017	0.818	1	197	0.000	0.850	0.818	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	159	separator_candidate	1	0	0	1.730	0.798	0.013	0.774	1	197	0.000	0.798	0.774	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	160	separator_candidate	1	0	0	2.532	1.315	0.017	1.283	1	197	0.000	1.315	1.283	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	161	separator_candidate	1	0	0	2.483	1.182	0.019	1.144	1	197	0.000	1.182	1.144	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	162	separator_candidate	1	0	0	2.506	1.199	0.019	1.161	1	197	0.000	1.199	1.161	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	163	separator_candidate	1	0	0	3.027	1.411	0.083	1.314	1	197	0.000	1.411	1.314	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	164	separator_candidate	1	0	0	1.875	1.044	0.014	1.020	1	197	0.000	1.044	1.020	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	165	separator_candidate	1	0	0	1.468	0.702	0.012	0.678	1	197	0.000	0.702	0.678	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	166	separator_candidate	1	0	0	3.153	1.488	0.025	1.437	1	197	0.000	1.488	1.437	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	167	separator_candidate	1	0	0	2.199	1.020	0.020	0.982	1	197	0.000	1.020	0.982	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	168	separator_candidate	1	0	0	2.035	0.869	0.014	0.844	1	197	0.000	0.869	0.844	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	169	separator_candidate	1	0	0	2.131	1.272	0.014	1.243	1	197	0.000	1.272	1.243	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	170	separator_candidate	1	0	0	3.209	1.111	0.019	1.076	1	197	0.000	1.111	1.076	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	171	separator_candidate	1	0	0	1.639	0.874	0.013	0.850	1	197	0.000	0.874	0.850	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	172	separator_candidate	1	0	0	2.491	1.177	0.037	1.124	1	197	0.000	1.177	1.124	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	173	separator_candidate	1	0	0	1.807	0.844	0.016	0.812	1	197	0.000	0.844	0.812	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	174	separator_candidate	1	0	0	2.498	1.171	0.019	1.133	1	197	0.000	1.171	1.133	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	175	separator_candidate	1	0	0	2.315	0.755	0.016	0.724	1	197	0.000	0.755	0.724	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	176	separator_candidate	1	0	0	2.406	1.251	0.018	1.218	1	197	0.000	1.251	1.218	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	177	separator_candidate	1	0	0	1.462	0.700	0.012	0.675	1	197	0.000	0.700	0.675	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	178	separator_candidate	1	0	0	3.748	2.188	0.018	2.152	1	197	0.000	2.188	2.152	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	179	separator_candidate	1	0	0	3.073	1.447	0.024	1.398	1	197	0.000	1.447	1.398	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	180	separator_candidate	1	0	0	1.955	0.903	0.035	0.846	1	197	0.000	0.903	0.846	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	181	separator_candidate	1	0	0	1.898	0.709	0.013	0.685	1	197	0.000	0.709	0.685	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	182	separator_candidate	1	0	0	2.128	1.027	0.015	0.996	1	197	0.000	1.027	0.996	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	183	separator_candidate	1	0	0	2.862	1.114	0.019	1.076	1	197	0.000	1.114	1.076	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	184	separator_candidate	1	0	0	2.536	1.183	0.019	1.144	1	197	0.000	1.183	1.144	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	185	separator_candidate	1	0	0	2.401	1.205	0.176	1.011	1	197	0.000	1.205	1.011	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	186	separator_candidate	1	0	0	2.598	1.185	0.035	1.131	1	197	0.000	1.185	1.131	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	187	separator_candidate	1	0	0	2.489	1.165	0.019	1.127	1	197	0.000	1.165	1.127	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	188	separator_candidate	1	0	0	2.801	1.355	0.019	1.314	1	197	0.000	1.355	1.314	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	189	separator_candidate	1	0	0	2.547	1.320	0.017	1.057	1	197	0.000	1.320	1.057	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	190	separator_candidate	1	0	0	3.181	1.494	0.024	1.446	1	197	0.000	1.494	1.446	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	191	separator_candidate	1	0	0	3.061	1.704	0.022	1.657	1	197	0.000	1.704	1.657	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	192	separator_candidate	1	0	0	2.524	1.080	0.021	1.042	1	197	0.000	1.080	1.042	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	193	separator_candidate	1	0	0	2.703	1.360	0.020	1.325	1	197	0.000	1.360	1.325	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	194	separator_candidate	1	0	0	2.620	0.975	0.015	0.944	1	197	0.000	0.975	0.944	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	195	separator_candidate	1	0	0	2.308	0.960	0.018	0.927	1	197	0.000	0.960	0.927	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	196	separator_candidate	1	0	0	2.417	1.014	0.015	0.983	1	197	0.000	1.014	0.983	0.000	0.000	0	same_side_reject
comb_dense	256	1	29	1	separator_candidate	0	0	1	0.010	0.004	0.000	0.003	0	0	0.000	0.004	0.003	0.001	0.000	0	partition_conflict
comb_dense	256	1	30	1	separator_candidate	1	0	0	2.470	1.171	0.017	1.137	1	196	0.000	1.171	1.137	0.000	0.000	0	same_side_reject
comb_dense	256	1	30	2	separator_candidate	1	0	0	2.983	1.409	0.017	1.375	1	196	0.000	1.409	1.375	0.000	0.000	0	same_side_reject
comb_dense	256	1	30	3	separator_candidate	1	0	0	3.136	1.479	0.024	1.432	1	196	0.000	1.479	1.432	0.000	0.000	0	same_side_reject
comb_dense	256	1	30	4	separator_candidate	1	0	0	2.204	0.880	0.041	0.820	1	196	0.000	0.880	0.820	0.000	0.000	0	same_side_reject
