case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	1	228	separator_candidate	1	0	0	4.719	2.322	0.050	2.219	1	254	0.000	2.322	2.219	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	229	separator_candidate	1	0	0	5.295	2.505	0.029	2.449	1	254	0.000	2.505	2.449	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	230	separator_candidate	1	0	0	5.364	2.818	0.051	2.736	1	254	0.000	2.818	2.736	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	231	separator_candidate	1	0	0	3.950	1.732	0.019	1.698	1	254	0.000	1.732	1.698	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	232	separator_candidate	1	0	0	2.926	1.475	0.017	1.435	1	254	0.000	1.475	1.435	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	233	separator_candidate	1	0	0	2.608	1.300	0.024	1.253	1	254	0.000	1.300	1.253	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	234	separator_candidate	1	0	0	2.345	1.081	0.016	1.050	1	254	0.000	1.081	1.050	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	235	separator_candidate	1	0	0	3.862	1.898	0.021	1.853	1	254	0.000	1.898	1.853	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	236	separator_candidate	1	0	0	2.932	1.429	0.026	1.379	1	254	0.000	1.429	1.379	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	237	separator_candidate	1	0	0	2.243	1.081	0.014	1.051	1	254	0.000	1.081	1.051	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	238	separator_candidate	1	0	0	3.462	1.778	0.019	1.736	1	254	0.000	1.778	1.736	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	239	separator_candidate	1	0	0	3.367	1.807	0.073	1.712	1	254	0.000	1.807	1.712	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	240	separator_candidate	1	0	0	4.564	2.167	0.046	2.098	1	254	0.000	2.167	2.098	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	241	separator_candidate	1	0	0	2.614	1.341	0.016	1.301	1	254	0.000	1.341	1.301	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	242	separator_candidate	1	0	0	4.538	2.085	0.033	2.029	1	254	0.000	2.085	2.029	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	243	separator_candidate	1	0	0	5.177	2.264	0.022	2.223	1	254	0.000	2.264	2.223	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	244	separator_candidate	1	0	0	3.982	1.867	0.019	1.833	1	254	0.000	1.867	1.833	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	245	separator_candidate	1	0	0	3.295	1.509	0.018	1.476	1	254	0.000	1.509	1.476	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	246	separator_candidate	1	0	0	5.222	1.949	0.018	1.916	1	254	0.000	1.949	1.916	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	247	separator_candidate	1	0	0	5.055	2.227	0.024	2.187	1	254	0.000	2.227	2.187	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	248	separator_candidate	1	0	0	5.957	3.195	0.028	3.139	1	254	0.000	3.195	3.139	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	249	separator_candidate	1	0	0	4.139	1.902	0.028	1.819	1	254	0.000	1.902	1.819	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	250	separator_candidate	1	0	0	3.870	1.694	0.028	1.634	1	254	0.000	1.694	1.634	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	251	separator_candidate	1	0	0	5.008	2.364	0.051	2.281	1	254	0.000	2.364	2.281	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	252	separator_candidate	1	0	0	5.236	2.442	0.039	2.380	1	254	0.000	2.442	2.380	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	253	separator_candidate	1	0	0	6.193	3.355	0.041	3.268	1	254	0.000	3.355	3.268	0.000	0.000	0	same_side_reject
comb_dense	256	1	2	1	separator_candidate	1	0	0	3.363	1.558	0.020	1.524	1	252	0.000	1.558	1.524	0.000	0.000	0	same_side_reject
comb_dense	256	1	2	2	separator_candidate	1	0	0	4.638	2.436	0.028	2.387	1	252	0.000	2.436	2.387	0.000	0.000	0	same_side_reject
comb_dense	256	1	2	3	separator_candidate	1	0	0	3.113	1.428	0.019	1.395	1	252	0.000	1.428	1.395	0.000	0.000	0	same_side_reject
