num=8 antecedents=[(2,3->1) (2,3->2) (2,3->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2) (2,3->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2) (2,3->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2) (2,3->4)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->2) (2,4->2)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2) (2,4->2)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2) (2,4->2)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2) (2,4->2)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->2) (2,4->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2) (2,4->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2) (2,4->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2) (2,4->4)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->2) (3,4->1)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2) (3,4->1)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2) (3,4->1)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2) (3,4->1)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->2) (3,4->5)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2) (3,4->5)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2) (3,4->5)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2) (3,4->5)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->2)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->2)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->2)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->2)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->2)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4) (2,4->2)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->2)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4) (2,4->2)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->2)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4) (2,4->2)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->4)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4) (2,4->4)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4) (2,4->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4) (2,4->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4) (2,4->4)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->1)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4) (2,4->1)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->1)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4) (2,4->1)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->1)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4) (2,4->1)}	3	4	1
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->5)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4) (2,4->5)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->5)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4) (2,4->5)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4) (3,4->5)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4) (2,4->5)}	3	4	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,3->2)	n=9 constraints={(2,3->1) (2,3->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4)}	2	3	2
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,3->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4)}	2	4	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,3->4)}	3	4	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->1)	n=9 constraints={(2,3->1) (2,3->4)}	2	5	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->1)	n=9 constraints={(2,3->1) (2,3->4)}	3	5	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->2)	n=9 constraints={(2,3->1) (2,3->4)}	2	5	2
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->2)	n=9 constraints={(2,3->1) (2,3->4)}	3	5	3
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->5)	n=9 constraints={(2,3->1) (2,3->4)}	2	5	5
num=8 antecedents=[(2,3->1) (2,3->4)] => (2,5->5)	n=9 constraints={(2,3->1) (2,3->4)}	3	5	5
num=8 antecedents=[(2,3->1) (2,3->4)] => (3,5->1)	n=9 constraints={(2,3->1) (2,3->4)}	2	5	1
num=8 antecedents=[(2,3->1) (2,3->4)] => (3,5->1)	n=9 constraints={(2,3->1) (2,3->4)}	3	5	1
num=8 antecedents=[(2,3->1) (2,4->2) (2,4->4)] => (2,3->2)	n=9 constraints={(2,3->1) (2,4->2) (2,4->4)}	2	3	2
num=8 antecedents=[(2,3->1) (2,4->2) (2,4->4)] => (2,3->3)	n=9 constraints={(2,3->1) (2,4->2) (2,4->4)}	2	3	3
num=8 antecedents=[(2,3->1) (2,4->2) (2,4->4)] => (2,4->1)	n=9 constraints={(2,3->1) (2,4->2) (2,4->4)}	2	4	1
num=8 antecedents=[(2,3->1) (2,4->2) (3,4->5)] => (2,3->2)	n=9 constraints={(2,3->1) (2,4->2) (3,4->5)}	2	3	2
