pass_id	shell16_builder_used	shell16_cache_loaded	fingerprint	fallback_hit	stale_status	support8_final_classification	notes
pass1	1	0	981:4479772858934799504	0	fresh	support8_authoritative_completion_locked	builder_scan_shell16_frontier_non_promoting_attempt_
pass2	0	1	981:4479772858934799504	0	fresh	support8_authoritative_completion_locked	loaded_current_shell16_runtime_artifact
pass3	0	1	981:4479772858934799504	0	fresh	support8_authoritative_completion_locked	loaded_current_shell16_runtime_artifact
