comb_dense	256	1	1	255	18370	6473	0.352368	0	1	0	0	1	1	0	1	1	Q6473_A0_B1_OB0_BZ0_CC1	4.600	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	2	2	80	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.033	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	3	253	18109	6409	0.353912	0	1	0	0	1	1	0	1	1	Q6409_A0_B1_OB0_BZ0_CC1	4.299	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	4	2	65	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.029	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	5	251	17878	6344	0.354850	0	1	0	0	1	1	0	1	1	Q6344_A0_B1_OB0_BZ0_CC1	3.838	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	6	2	66	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.031	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	7	249	17632	6271	0.355660	0	1	0	0	1	1	0	1	1	Q6271_A0_B1_OB0_BZ0_CC1	4.568	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	8	2	74	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.035	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	9	247	17381	6203	0.356884	0	1	0	0	1	1	0	1	1	Q6203_A0_B1_OB0_BZ0_CC1	3.749	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	10	2	69	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.032	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	11	245	17141	6131	0.357680	0	1	0	0	1	1	0	1	1	Q6131_A0_B1_OB0_BZ0_CC1	3.994	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	12	2	73	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.030	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	13	243	16888	6055	0.358539	0	1	0	0	1	1	0	1	1	Q6055_A0_B1_OB0_BZ0_CC1	3.898	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	14	2	77	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.029	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	15	241	16647	5985	0.359524	0	1	0	0	1	1	0	1	1	Q5985_A0_B1_OB0_BZ0_CC1	4.365	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	16	2	71	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.028	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	17	239	16398	5908	0.360288	0	1	0	0	1	1	0	1	1	Q5908_A0_B1_OB0_BZ0_CC1	3.795	0.000	0.000	0.000	0.000	1	1	0	debug_off	0
comb_dense	256	1	18	2	78	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.032	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	19	237	16179	5849	0.361518	0	1	0	0	1	1	0	1	1	Q5849_A0_B1_OB0_BZ0_CC1	3.757	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	20	2	60	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.021	0.000	0.000	0.000	0.000	1	0	0		0
comb_dense	256	1	21	235	15957	5783	0.362411	0	1	0	0	1	1	0	1	1	Q5783_A0_B1_OB0_BZ0_CC1	3.649	0.000	0.000	0.000	0.000	1	0	0		0
