case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	1	160	separator_candidate	1	0	0	2.255	0.046	0.031	0.007	1	254	0.000	0.046	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	161	separator_candidate	1	0	0	2.375	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	162	separator_candidate	1	0	0	2.011	0.058	0.028	0.015	1	254	0.000	0.058	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	163	separator_candidate	1	0	0	1.158	0.036	0.017	0.007	1	254	0.000	0.036	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	164	separator_candidate	1	0	0	1.253	0.032	0.017	0.007	1	254	0.000	0.032	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	165	separator_candidate	1	0	0	2.669	0.095	0.065	0.015	1	254	0.000	0.095	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	166	separator_candidate	1	0	0	2.378	0.068	0.046	0.011	1	254	0.000	0.068	0.011	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	167	separator_candidate	1	0	0	2.641	0.068	0.038	0.015	1	254	0.000	0.068	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	168	separator_candidate	1	0	0	2.706	0.092	0.033	0.015	1	254	0.000	0.092	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	169	separator_candidate	1	0	0	1.628	0.035	0.020	0.007	1	254	0.000	0.035	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	170	separator_candidate	1	0	0	2.378	0.086	0.055	0.015	1	254	0.000	0.086	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	171	separator_candidate	1	0	0	1.560	0.057	0.026	0.015	1	254	0.000	0.057	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	172	separator_candidate	1	0	0	2.367	0.038	0.021	0.008	1	254	0.000	0.038	0.008	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	173	separator_candidate	1	0	0	2.335	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	174	separator_candidate	1	0	0	2.337	0.064	0.033	0.015	1	254	0.000	0.064	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	175	separator_candidate	1	0	0	1.573	0.058	0.027	0.015	1	254	0.000	0.058	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	176	separator_candidate	1	0	0	1.126	0.030	0.016	0.007	1	254	0.000	0.030	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	177	separator_candidate	1	0	0	1.120	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	178	separator_candidate	1	0	0	2.417	0.062	0.031	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	179	separator_candidate	1	0	0	1.301	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
