mode,n,seed,shuffle_labels,shuffle_queries,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
multi_comb_rect,64,1,1,1,0,0,1,0.012567,1728,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/multi_comb_rect/n64/seed1_L1_Q1
multi_comb_cap,64,1,0,0,0,0,1,0.012628,1696,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/multi_comb_cap/n64/seed1_L0_Q0
multi_comb_cap,64,1,0,1,0,0,1,0.012592,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/multi_comb_cap/n64/seed1_L0_Q1
multi_comb_cap,64,1,1,0,0,0,1,0.012087,1680,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/multi_comb_cap/n64/seed1_L1_Q0
multi_comb_cap,64,1,1,1,0,0,1,0.012579,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/multi_comb_cap/n64/seed1_L1_Q1
chain_unary,64,1,0,0,0,0,1,0.012581,1664,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/chain_unary/n64/seed1_L0_Q0
chain_unary,64,1,0,1,0,0,1,0.014493,1680,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/chain_unary/n64/seed1_L0_Q1
chain_unary,64,1,1,0,0,0,1,0.012599,1664,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/chain_unary/n64/seed1_L1_Q0
chain_unary,64,1,1,1,0,0,1,0.012612,1664,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/chain_unary/n64/seed1_L1_Q1
star_pairs,64,1,0,0,0,0,1,0.010253,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/star_pairs/n64/seed1_L0_Q0
star_pairs,64,1,0,1,0,0,1,0.012630,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/star_pairs/n64/seed1_L0_Q1
star_pairs,64,1,1,0,0,0,1,0.012591,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/star_pairs/n64/seed1_L1_Q0
star_pairs,64,1,1,1,0,0,1,0.012572,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/star_pairs/n64/seed1_L1_Q1
balanced_sibling,64,1,0,0,0,0,1,0.012619,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_sibling/n64/seed1_L0_Q0
balanced_sibling,64,1,0,1,0,0,1,0.010690,1600,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_sibling/n64/seed1_L0_Q1
balanced_sibling,64,1,1,0,0,0,1,0.012602,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_sibling/n64/seed1_L1_Q0
balanced_sibling,64,1,1,1,0,0,1,0.012605,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_sibling/n64/seed1_L1_Q1
balanced_dense,64,1,0,0,0,0,1,0.011693,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_dense/n64/seed1_L0_Q0
balanced_dense,64,1,0,1,0,0,1,0.012592,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_dense/n64/seed1_L0_Q1
balanced_dense,64,1,1,0,0,0,1,0.010764,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_dense/n64/seed1_L1_Q0
balanced_dense,64,1,1,1,0,0,1,0.011381,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/balanced_dense/n64/seed1_L1_Q1
broom_mixed,64,1,0,0,0,0,1,0.012595,1584,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/broom_mixed/n64/seed1_L0_Q0
broom_mixed,64,1,0,1,0,0,1,0.012608,1584,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/broom_mixed/n64/seed1_L0_Q1
broom_mixed,64,1,1,0,0,0,1,0.012603,1584,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/broom_mixed/n64/seed1_L1_Q0
broom_mixed,64,1,1,1,0,0,1,0.012619,1584,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/broom_mixed/n64/seed1_L1_Q1
caterpillar_mixed,64,1,0,0,0,0,1,0.012599,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_mixed/n64/seed1_L0_Q0
caterpillar_mixed,64,1,0,1,0,0,1,0.011923,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_mixed/n64/seed1_L0_Q1
caterpillar_mixed,64,1,1,0,0,0,1,0.012595,1872,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_mixed/n64/seed1_L1_Q0
caterpillar_mixed,64,1,1,1,0,0,1,0.012624,1872,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_mixed/n64/seed1_L1_Q1
caterpillar_rect_dense,64,1,0,0,0,0,1,0.012599,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_rect_dense/n64/seed1_L0_Q0
caterpillar_rect_dense,64,1,0,1,0,0,1,0.012602,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_rect_dense/n64/seed1_L0_Q1
caterpillar_rect_dense,64,1,1,0,0,0,1,0.011516,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_rect_dense/n64/seed1_L1_Q0
caterpillar_rect_dense,64,1,1,1,0,0,1,0.012565,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/caterpillar_rect_dense/n64/seed1_L1_Q1
random_recursive_mixed,64,1,0,0,0,0,1,0.010138,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/random_recursive_mixed/n64/seed1_L0_Q0
random_recursive_mixed,64,1,0,1,0,0,1,0.012589,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/random_recursive_mixed/n64/seed1_L0_Q1
random_recursive_mixed,64,1,1,0,0,0,1,0.012587,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/random_recursive_mixed/n64/seed1_L1_Q0
random_recursive_mixed,64,1,1,1,0,0,1,0.012585,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/random_recursive_mixed/n64/seed1_L1_Q1
